pip install -r requirements.txttipo,nombre_contagram,alias_banco,cuit,id_contagram,banco_principal,monto_mensual
Cliente,ROJO MALBEC,CR.TRANSF ROJO MALBEC,27-81223623-1,1023,galicia,3445368.36
Cliente,Mr drinks,TRANSF.RECIB MR DRINKS,30-58760366-9,1024,santander,3399374.89
Cliente,RAIZ FUEGO MOVIL,MP*RAIZ FUEGO MOVIL,33-67054668-8,1025,mercadopago,3223984.01
Cliente,FRUTA NUEVA CORDOBA,CR TRANSF FRUTA NUEVA CORDOBA,30-34670656-2,1026,santander,2916391.68
Cliente,VINOTECA LA FALDA,TRF CR VINOTECA LA FALDA,23-98069901-6,1027,galicia,2791858.67
Cliente,EL ZORRO,MERPAGO EL ZORRO,30-20465375-5,1028,mercadopago,2770509.62
Cliente,Eduardo bruno v maria,MERPAG*EDUARDO BRUNO V MARI,27-64170805-3,1029,mercadopago,2647584.0
Cliente,MARQUEZ VINOS Y LICORES,TRANSF.RECIB MARQUEZ VINOS Y LICORES,20-03309232-7,1030,santander,2475003.75
Cliente,LA FABRICA,MERCPAGO*LA FABRICA,33-37452991-2,1031,mercadopago,2394206.61
Cliente,UNPLUGGED,MP*UNPLUGGED,20-90496631-9,1032,mercadopago,2349781.72
Cliente,VINOTECA RUTA 2,MERPAG*VINOTECA RUTA 2,20-49190586-5,1033,mercadopago,2320478.14
Cliente,DISTRIBUIDORA DE LA RIVA,CR TRANSF DISTRIBUIDORA DE LA RIVA,33-50671657-2,1034,santander,2304000.0
Cliente,ALMACEN SHIZEN,ACRED.TRANSF ALMACEN SHIZEN,23-84987769-4,1035,galicia,2283254.25
Cliente,SEBASTIAN ESTRELLA,TRANSF.RECIB SEBASTIAN ESTRELLA,23-14737996-5,1036,santander,2248550.46
Cliente,DAV COUNTRY,ACRED.TRANSF DAV COUNTRY,30-52735454-9,1037,galicia,2237494.98
Cliente,FULLSKAVIO,CR.TRANSF FULLSKAVIO,33-08313678-3,1038,galicia,2207694.86
Cliente,Michelle Catering,ACRED TRANSF MICHELLE CATERING,30-70143634-9,1039,santander,2168035.13
Cliente,VINOTECA PEDROS,MERCPAGO*VINOTECA PEDROS,30-88568557-4,1040,mercadopago,2119447.23
Cliente,DISTRIBUIDORA MARCONI,CR.TRANSF DISTRIBUIDORA MARCONI,27-31351823-3,1041,galicia,2117559.92
Cliente,CATCH,TRANSF CR CATCH,27-98941343-5,1042,santander,2058352.87
Cliente,Aldeano Restaurante Bar,CR.TRANSF ALDEANO RESTAURANTE BAR,27-08240084-2,1043,galicia,1980317.1
Cliente,SUMMER HOUSE,ACRED TRANSF SUMMER HOUSE,20-09477752-0,1044,santander,1972261.83
Cliente,ucfa,ACRED.TRANSF UCFA,30-11671902-2,1045,galicia,1932231.26
Cliente,Kiosko gaviota,CR.TRANSF KIOSKO GAVIOTA,20-31869993-8,1046,galicia,1920001.38
Cliente,Copa V VIEYTES,MERPAG*COPA V VIEYTES,30-74964990-9,1047,mercadopago,1919999.99
Cliente,Route 66,MERPAG*ROUTE 66,23-34123281-2,1048,mercadopago,1890632.37
Cliente,tomas quiroga,MERPAG*TOMAS QUIROGA,30-79740344-7,1049,mercadopago,1820683.65
Cliente,CLIN VINOTECA general paz,MP*CLIN VINOTECA GENERA,23-49361832-4,1050,mercadopago,1787312.51
Cliente,GRAPPA,MERCPAGO*GRAPPA,20-02499471-7,1051,mercadopago,1748879.22
Cliente,cassette,MERCPAGO*CASSETTE,30-48877190-6,1052,mercadopago,1733810.79
Cliente,Chacra De Luna,MERPAG*CHACRA DE LUNA,33-40139904-9,1053,mercadopago,1700376.95
Cliente,HOOD,CR.TRANSF HOOD,23-78742967-1,1054,galicia,1687488.95
Cliente,SIGUR VINOTECA,MERPAGO SIGUR VINOTECA,27-65512567-4,1055,mercadopago,1661351.39
Cliente,LA FERNECERIA,MERPAG*LA FERNECERIA,33-07154516-8,1056,mercadopago,1652990.42
Cliente,la union distribuidora,MERPAG*LA UNION DISTRIBUIDO,33-76038597-7,1057,mercadopago,1589152.74
Cliente,La generosa.vinos,MP*LA GENEROSA.VINOS,23-48247710-9,1058,mercadopago,1567153.08
Cliente,VINOTECA LA RECTA,TRANSF.RECIB VINOTECA LA RECTA,23-48086131-7,1059,santander,1480340.64
Cliente,CONSUMIDOR FINAL FACU,TRF CR CONSUMIDOR FINAL FACU,23-74846773-7,1060,galicia,1477663.81
Cliente,HANNOVER CARCANO,ACRED.TRANSF HANNOVER CARCANO,30-39821465-8,1061,galicia,1461660.1
Cliente,DADDY BEBIDAS CORDILLERA,MERCPAGO*DADDY BEBIDAS CORDIL,20-44997278-7,1062,mercadopago,1357967.12
Cliente,NEGRONI,TRF CR NEGRONI,27-88675339-6,1063,galicia,1300036.76
Cliente,EL BOTICARIO DE GUEMES,MERCPAGO*EL BOTICARIO DE GUEM,30-05766270-2,1064,mercadopago,1293451.96
Cliente,DRINKS BARRIO JARDIN,MERPAGO DRINKS BARRIO JARDIN,20-71870262-1,1065,mercadopago,1283456.14
Cliente,IDA RESTAURANT,TRANSF.RECIB IDA RESTAURANT,27-59615865-7,1066,santander,1274341.46
Cliente,campa bar,TRF CR CAMPA BAR,33-13431611-7,1067,galicia,1247982.6
Cliente,Hannover Florida,TRF CR HANNOVER FLORIDA,27-00504556-2,1068,galicia,1235692.79
Cliente,Hoffen Catering & Planners,TRF CR HOFFEN CATERING & PLANNER,33-69222196-9,1069,galicia,1225959.36
Cliente,Way Out Producciones,ACRED TRANSF WAY OUT PRODUCCIONES,30-92374740-7,1070,santander,1212965.84
Cliente,alejandro sileoni,ACRED TRANSF ALEJANDRO SILEONI,33-21759464-7,1071,santander,1196204.0
Cliente,DRINK BOX,MERCPAGO*DRINK BOX,23-67136959-4,1072,mercadopago,1176228.53
Cliente,OSLOW,MERCPAGO*OSLOW,20-64090974-3,1073,mercadopago,1172185.64
Cliente,Alta gracia rugby,MERCPAGO*ALTA GRACIA RUGBY,23-39421047-0,1074,mercadopago,1163069.07
Cliente,Lu Jaitt Wedding,MERCPAGO*LU JAITT WEDDING,23-14562328-5,1075,mercadopago,1162572.52
Cliente,OLEO,MERPAGO OLEO,23-47451712-3,1076,mercadopago,1160461.27
Cliente,farmacia sanchez antoniolli,ACRED TRANSF FARMACIA SANCHEZ ANTONIOL,33-51604817-5,1077,santander,1131835.74
Cliente,OCASO BAR,TRANSF CR OCASO BAR,33-65137098-5,1078,santander,1129684.77
Cliente,MONJE NEGRO,MERPAG*MONJE NEGRO,20-74612004-7,1079,mercadopago,1088723.25
Cliente,COPA V RECTA,TRF CR COPA V RECTA,20-38267586-9,1080,galicia,1061839.59
Cliente,SANTA BARBARA HOUSING,MERPAGO SANTA BARBARA HOUSIN,30-17964053-7,1081,mercadopago,1054860.51
Cliente,SUSHI ROLL TO GO,TRANSF.RECIB SUSHI ROLL TO GO,23-51585064-3,1082,santander,1046561.77
Cliente,CAZONA,TRF CR CAZONA,30-13900532-9,1083,galicia,1043911.55
Cliente,ANONIMO MANANTIALES,MERCPAGO*ANONIMO MANANTIALES,20-83933529-0,1084,mercadopago,1030435.73
Cliente,BRANDY ALTA GRACIA,MP*BRANDY ALTA GRACIA,23-28421020-5,1085,mercadopago,1029264.15
Cliente,LA TABERNA RIO CUARTO,TRANSF LA TABERNA RIO CUARTO,33-50240268-1,1086,galicia,1026005.85
Cliente,CUATRO CEPAS,MERPAG*CUATRO CEPAS,30-75891783-9,1087,mercadopago,1018188.5
Cliente,TRESCA VINILOS Y COPAS,CR.TRANSF TRESCA VINILOS Y COPAS,33-47007661-7,1088,galicia,1008653.15
Cliente,dionisio II,ACRED TRANSF DIONISIO II,20-15921249-9,1089,santander,1007425.7
Cliente,COLIFA BAR,MP*COLIFA BAR,30-98478961-1,1090,mercadopago,979942.52
Cliente,Tomis distribuidora,MERPAGO TOMIS DISTRIBUIDORA,30-73657661-5,1091,mercadopago,970004.96
Cliente,Palma Sunset,TRANSF.RECIB PALMA SUNSET,27-45271111-6,1092,santander,959615.92
Cliente,TIJUANA,ACRED.TRANSF TIJUANA,27-28098851-6,1093,galicia,957483.44
Cliente,LA REINA EMPANADAS,MP*LA REINA EMPANADAS,30-04945198-3,1094,mercadopago,949792.62
Cliente,GURUPA,MERPAGO GURUPA,30-31585149-3,1095,mercadopago,948942.75
Cliente,BLEND BEBIDAS RIO CUARTO,MERCPAGO*BLEND BEBIDAS RIO CU,33-99809402-4,1096,mercadopago,943486.49
Cliente,414 GALERIA,TRANSF 414 GALERIA,27-50229612-0,1097,galicia,878740.28
Cliente,COPA V GENERAL PAZ,TRANSF.RECIB COPA V GENERAL PAZ,33-36675254-5,1098,santander,855096.33
Cliente,PIZZA ITALIA,CR.TRANSF PIZZA ITALIA,20-22901476-7,1099,galicia,846741.3
Cliente,LOS FENICIOS,MERPAGO LOS FENICIOS,30-43815614-9,1100,mercadopago,842403.68
Cliente,TRES AGUAS,MP*TRES AGUAS,33-40369003-4,1101,mercadopago,829838.36
Cliente,TESKA,CR TRANSF TESKA,23-44510762-2,1102,santander,827881.73
Cliente,PUNTO NUÑEZ,CR.TRANSF PUNTO NUÑEZ,33-38851606-0,1103,galicia,822078.63
Cliente,HUB,TRANSF.RECIB HUB,20-59696641-6,1104,santander,798469.3
Cliente,QHATU,CR TRANSF QHATU,27-29751613-6,1105,santander,719873.67
Cliente,Consumidor Final,MERPAG*CONSUMIDOR FINAL,33-16453521-8,1106,mercadopago,701445.14
Cliente,VALLE WINES,TRF CR VALLE WINES,33-83552312-4,1107,galicia,688071.66
Cliente,Hacienda La Madura,ACRED.TRANSF HACIENDA LA MADURA,23-92127799-7,1108,galicia,688011.39
Cliente,CONSUMIDOR FINAL URIEL,ACRED.TRANSF CONSUMIDOR FINAL URIEL,27-27177449-0,1109,galicia,687622.72
Cliente,CONSUMIDOR FINAL NICO,MERPAG*CONSUMIDOR FINAL NIC,33-14770054-1,1110,mercadopago,675772.81
Cliente,MARCELA DECIMA,TRF CR MARCELA DECIMA,33-98679807-9,1111,galicia,672588.9
Cliente,GREENPARADISE,MP*GREENPARADISE,27-97820715-1,1112,mercadopago,660337.56
Cliente,BEBIDAS Y ALGO MAS,ACRED.TRANSF BEBIDAS Y ALGO MAS,20-37788925-5,1113,galicia,653824.8
Cliente,LA CATA ALMACEN DE VINOS,CR.TRANSF LA CATA ALMACEN DE VINOS,30-65905151-8,1114,galicia,653353.13
Cliente,drinks villa maria,CR TRANSF DRINKS VILLA MARIA,27-49251925-4,1115,santander,649707.08
Cliente,SALA FORMOSA,CR TRANSF SALA FORMOSA,23-91486528-1,1116,santander,649489.04
Cliente,LA BARRACA,MP*LA BARRACA,33-50542357-3,1117,mercadopago,643929.71
Cliente,VINOTECA KABALIN 434,TRF CR VINOTECA KABALIN 434,23-21418880-5,1118,galicia,640916.08
Cliente,PROEZA,MERCPAGO*PROEZA,33-62229270-6,1119,mercadopago,632419.44
Cliente,SKALL,TRANSF CR SKALL,23-79473834-7,1120,santander,628422.37
Cliente,SENTILO CERRO,TRANSF CR SENTILO CERRO,27-97746886-2,1121,santander,623537.44
Cliente,TRES CALAVERAS,MERCPAGO*TRES CALAVERAS,33-24075818-1,1122,mercadopago,595847.37
Cliente,Ramen Factory,ACRED.TRANSF RAMEN FACTORY,20-24782613-7,1123,galicia,587059.08
Cliente,EL TORI,TRF CR EL TORI,20-60685361-5,1124,galicia,559652.77
Cliente,CALINA,MERPAGO CALINA,20-51522047-2,1125,mercadopago,548351.96
Cliente,PLACERES TERRENALES,CR TRANSF PLACERES TERRENALES,30-90104328-9,1126,santander,527870.96
Cliente,FELICITAS CATERING,TRANSF FELICITAS CATERING,20-43410369-7,1127,galicia,519195.94
Cliente,VILLA GOLF EVENTOS,CR TRANSF VILLA GOLF EVENTOS,20-79808932-4,1128,santander,510178.45
Cliente,SYRAH nueva cba,TRANSF SYRAH NUEVA CBA,20-95396218-5,1129,galicia,508885.83
Cliente,Bautista Reevendedor,MERCPAGO*BAUTISTA REEVENDEDOR,33-88880670-6,1130,mercadopago,496979.73
Cliente,SALVE BAR,MERPAG*SALVE BAR,27-05153195-2,1131,mercadopago,495058.04
Cliente,wood,MERPAG*WOOD,27-85277221-7,1132,mercadopago,486161.57
Cliente,LA BIRRA ES BELLA,CR TRANSF LA BIRRA ES BELLA,27-30305486-8,1133,santander,480937.58
Cliente,GULAMBRE,CR TRANSF GULAMBRE,27-03450541-5,1134,santander,475664.33
Cliente,Diego Rojas,TRANSF.RECIB DIEGO ROJAS,30-76527758-4,1135,santander,473827.8
Cliente,DRINKS VILLA ALLENDE,MERCPAGO*DRINKS VILLA ALLENDE,30-16928451-1,1136,mercadopago,468496.15
Cliente,Farra Vinoteca,MERCPAGO*FARRA VINOTECA,27-47962757-0,1137,mercadopago,464907.6
Cliente,THE BOTTOM GUEMES,TRANSF CR THE BOTTOM GUEMES,33-64016582-0,1138,santander,453244.39
Cliente,DIA 1 PRODUCCIONES,TRANSF.RECIB DIA 1 PRODUCCIONES,33-70213556-9,1139,santander,440541.99
Cliente,ALTO TEJEDA GREGORIO GAVIER,MERCPAGO*ALTO TEJEDA GREGORIO,33-27557192-8,1140,mercadopago,428399.97
Cliente,NIDO,TRANSF NIDO,30-54310278-6,1141,galicia,412621.02
Cliente,Drink Party,MERPAG*DRINK PARTY,27-47394731-2,1142,mercadopago,408285.56
Cliente,CUBA INC,ACRED TRANSF CUBA INC,30-27155188-4,1143,santander,407938.74
Cliente,SYRAH RUTA 20,TRANSF.RECIB SYRAH RUTA 20,23-25831323-7,1144,santander,406979.97
Cliente,LA MISTICA,MERCPAGO*LA MISTICA,27-89578291-1,1145,mercadopago,405210.58
Cliente,Manuel Wellosi,CR.TRANSF MANUEL WELLOSI,30-78669125-1,1146,galicia,403899.15
Cliente,Cafe Escondido,TRANSF CAFE ESCONDIDO,30-85289226-8,1147,galicia,394130.12
Cliente,CANTINA ALMACEN DE BEBIDAS,MERCPAGO*CANTINA ALMACEN DE B,20-82422535-8,1148,mercadopago,392508.87
Cliente,TIENDA TODO BOCA,TRANSF CR TIENDA TODO BOCA,20-43842498-1,1149,santander,391229.78
Cliente,SAUL ARATANO,TRANSF SAUL ARATANO,33-92299590-0,1150,galicia,387317.05
Cliente,setenta treinta rio cuarto,MERCPAGO*SETENTA TREINTA RIO ,20-94396907-8,1151,mercadopago,381281.04
Cliente,el oficio,CR.TRANSF EL OFICIO,27-73647102-7,1152,galicia,378587.46
Cliente,VIDON NUEVA CORDOBA,TRF CR VIDON NUEVA CORDOBA,30-73592555-6,1153,galicia,378587.46
Cliente,LE PARC,MP*LE PARC,27-88153714-7,1154,mercadopago,375697.74
Cliente,DON CAMPESTRE,MERCPAGO*DON CAMPESTRE,23-10469632-5,1155,mercadopago,369587.0
Cliente,BOERR CAFE,CR TRANSF BOERR CAFE,23-27877470-1,1156,santander,367566.83
Cliente,CAELIA,CR.TRANSF CAELIA,33-73395004-7,1157,galicia,366587.9
Cliente,elf,TRANSF ELF,27-80162456-5,1158,galicia,364815.63
Cliente,WORT,CR.TRANSF WORT,30-09835841-6,1159,galicia,353462.68
Cliente,CIUDADANO,MERCPAGO*CIUDADANO,33-49912165-5,1160,mercadopago,349166.89
Cliente,AFORO REFUGIO,MERCPAGO*AFORO REFUGIO,23-39868000-2,1161,mercadopago,346673.98
Cliente,dos hermanas,MP*DOS HERMANAS,30-87298259-5,1162,mercadopago,335048.83
Cliente,FRANCIS,ACRED.TRANSF FRANCIS,30-94958887-9,1163,galicia,334420.0
Cliente,Lo de la mimi,MERPAGO LO DE LA MIMI,30-05516940-9,1164,mercadopago,330194.04
Cliente,Cata vinoteca -C.PAZ,MERPAGO CATA VINOTECA -C.PAZ,27-99309728-9,1165,mercadopago,329095.73
Cliente,VIDON BARRIO JARDIN,MP*VIDON BARRIO JARDIN,23-30913075-6,1166,mercadopago,324896.66
Cliente,LA TOPPINERIA GUEMES,ACRED.TRANSF LA TOPPINERIA GUEMES,30-36897028-3,1167,galicia,322534.21
Cliente,COSTA WARCALDE,MERCPAGO*COSTA WARCALDE,30-86527858-5,1168,mercadopago,322217.97
Cliente,TOKIN,TRANSF CR TOKIN,33-73348434-4,1169,santander,316521.85
Cliente,COMPAÑIA Y VINO,CR TRANSF COMPAÑIA Y VINO,30-57584419-8,1170,santander,315495.28
Cliente,LINAJE,MERPAGO LINAJE,30-52404157-4,1171,mercadopago,308228.37
Cliente,DENVER MARKET,MP*DENVER MARKET,23-38484219-9,1172,mercadopago,304145.14
Cliente,KIOSKO AVALANCHA,TRANSF KIOSKO AVALANCHA,23-08330165-7,1173,galicia,302132.4
Cliente,ARCHI,MERCPAGO*ARCHI,23-08267734-5,1174,mercadopago,301033.56
Cliente,COPA V ARMADA ARGENTINA,MERPAGO COPA V ARMADA ARGENT,20-19380262-0,1175,mercadopago,299124.14
Cliente,COPA V MANANTIALES,ACRED TRANSF COPA V MANANTIALES,30-24004991-5,1176,santander,299124.14
Cliente,COPA V MANANTIALES 2,ACRED.TRANSF COPA V MANANTIALES 2,30-88728743-1,1177,galicia,299124.14
Cliente,ZEN DISCO,CR.TRANSF ZEN DISCO,23-74205493-2,1178,galicia,297942.75
Cliente,PATIO VALDIVIESO,TRANSF CR PATIO VALDIVIESO,30-85161227-5,1179,santander,292601.32
Cliente,Mercadito San antonio,TRANSF.RECIB MERCADITO SAN ANTONIO,20-46374549-9,1180,santander,289961.2
Cliente,ALMACEN CAMPO DE VUELO,MERCPAGO*ALMACEN CAMPO DE VUE,27-53017426-8,1181,mercadopago,287851.92
Cliente,MENOS UNO VINOTECA,MERCPAGO*MENOS UNO VINOTECA,20-45933272-7,1182,mercadopago,286861.02
Cliente,ALTO TEJEDA  MENENDEZ PIDAL,ACRED.TRANSF ALTO TEJEDA  MENENDEZ PID,30-87833918-7,1183,galicia,285599.98
Cliente,ALTO TEJEDA WARCALDE,TRF CR ALTO TEJEDA WARCALDE,20-91088398-2,1184,galicia,285599.98
Cliente,MARIA MARIA,TRANSF MARIA MARIA,27-87139718-7,1185,galicia,285599.98
Cliente,VIDON CERRO,TRANSF VIDON CERRO,30-28679087-4,1186,galicia,285599.98
Cliente,MAB DRINKS,TRANSF MAB DRINKS,30-40391065-1,1187,galicia,278467.42
Cliente,LA CAJA,CR TRANSF LA CAJA,20-70462265-6,1188,santander,272228.75
Cliente,ESTACION 27,MP*ESTACION 27,30-61825128-6,1189,mercadopago,267435.31
Cliente,CATARSIS,TRF CR CATARSIS,23-00478686-3,1190,galicia,257082.11
Cliente,DON,MP*DON,30-52431069-0,1191,mercadopago,252508.6
Cliente,TUCSON ROGELIO MARTINEZ,CR TRANSF TUCSON ROGELIO MARTINEZ,23-11907903-0,1192,santander,235789.84
Cliente,SCABY DOO,MERCPAGO*SCABY DOO,30-38302843-9,1193,mercadopago,233085.06
Cliente,EL BOTELLON BAR,MERCPAGO*EL BOTELLON BAR,33-95342836-4,1194,mercadopago,232720.75
Cliente,JUANITA VAR,ACRED.TRANSF JUANITA VAR,20-89268705-6,1195,galicia,231672.86
Cliente,THE BARBEER,ACRED.TRANSF THE BARBEER,30-62462873-3,1196,galicia,228985.95
Cliente,OPORTO BEBIDAS,MP*OPORTO BEBIDAS,23-70866882-6,1197,mercadopago,228111.87
Cliente,MESON GAUSS,MERCPAGO*MESON GAUSS,27-35175183-0,1198,mercadopago,220373.5
Cliente,Amboy bebidas,TRANSF CR AMBOY BEBIDAS,30-99013983-7,1199,santander,208522.92
Cliente,VARIETAL,CR.TRANSF VARIETAL,27-40331739-3,1200,galicia,192121.24
Cliente,GATA MAULA,ACRED TRANSF GATA MAULA,23-85467854-4,1201,santander,189400.27
Cliente,LAS MORAS,TRANSF LAS MORAS,33-77175355-6,1202,galicia,189293.73
Cliente,VALDES MARISQUERIA,MP*VALDES MARISQUERIA,33-32048996-4,1203,mercadopago,189293.73
Cliente,PIPO BEBIDAS,CR TRANSF PIPO BEBIDAS,23-53693785-4,1204,santander,187987.66
Cliente,BARSAC,TRANSF.RECIB BARSAC,30-72522872-8,1205,santander,187262.21
Cliente,Puesto de Sabores,TRANSF.RECIB PUESTO DE SABORES,33-01006231-2,1206,santander,184809.75
Cliente,salvaje cafe,TRANSF.RECIB SALVAJE CAFE,23-87509977-0,1207,santander,179554.4
Cliente,ANTARES BUEN PASTOR,CR TRANSF ANTARES BUEN PASTOR,33-86008484-0,1208,santander,168303.45
Cliente,PISCO DE MAR,MERCPAGO*PISCO DE MAR,23-11823398-4,1209,mercadopago,163806.22
Cliente,LO QUE PINTE,TRANSF LO QUE PINTE,27-61567933-4,1210,galicia,162968.02
Cliente,Shiok,MERPAG*SHIOK,20-16668700-2,1211,mercadopago,162651.63
Cliente,SARSA FUSION,CR.TRANSF SARSA FUSION,30-65918033-9,1212,galicia,162614.01
Cliente,LA FONDA,MP*LA FONDA,27-01489025-0,1213,mercadopago,157433.75
Cliente,MACANA ESCABIO & DELICATESSEN,MERCPAGO*MACANA ESCABIO & DEL,33-26142939-6,1214,mercadopago,149995.38
Cliente,CENTRO DE PRODUCCION COC,ACRED TRANSF CENTRO DE PRODUCCION COC,30-21850163-1,1215,santander,149367.24
Cliente,DRINKING,MERCPAGO*DRINKING,33-99650477-3,1216,mercadopago,142799.99
Cliente,KUZAMIL S.A,TRANSF.RECIB KUZAMIL S.A,33-66296194-3,1217,santander,142799.99
Cliente,MILA RESTO,TRANSF MILA RESTO,20-42626551-1,1218,galicia,137404.65
Cliente,MALBEC,CR.TRANSF MALBEC,27-75412126-7,1219,galicia,134231.99
Cliente,CARA E PAPA,TRANSF.RECIB CARA E PAPA,20-01581995-6,1220,santander,131825.0
Cliente,COPA V SABATTINI,TRANSF CR COPA V SABATTINI,27-66183982-6,1221,santander,131234.35
Cliente,HUGO RESTORAN,CR.TRANSF HUGO RESTORAN,23-44472126-4,1222,galicia,120947.65
Cliente,REY DE COPAS RIO CUARTO,CR.TRANSF REY DE COPAS RIO CUARTO,27-71543799-3,1223,galicia,118051.67
Cliente,Angeles Catering,MERCPAGO*ANGELES CATERING,20-24065965-7,1224,mercadopago,117896.75
Cliente,JUAN SANCHEZ,MERPAGO JUAN SANCHEZ,30-92459375-2,1225,mercadopago,116875.43
Cliente,Autoservicio 70/30,TRANSF.RECIB AUTOSERVICIO 70/30,27-47935646-5,1226,santander,116044.57
Cliente,*alejandro tasca Bartender,ACRED.TRANSF *ALEJANDRO TASCA BARTENDE,33-39828073-7,1227,galicia,112959.65
Cliente,PLANTA BAJA,TRANSF PLANTA BAJA,20-67243426-6,1228,galicia,111555.37
Cliente,CERVARIO,ACRED.TRANSF CERVARIO,30-97968868-0,1229,galicia,107405.99
Cliente,HOPPERS,MERPAGO HOPPERS,33-91135290-9,1230,mercadopago,107405.98
Cliente,OYE CHICO,TRF CR OYE CHICO,27-61014388-8,1231,galicia,104660.16
Cliente,URBANO VINOTECA,TRANSF URBANO VINOTECA,30-56798250-7,1232,galicia,103746.76
Cliente,ESPACIO GOURMET RIO CUARTO,CR TRANSF ESPACIO GOURMET RIO CUART,27-61125457-3,1233,santander,97807.45
Cliente,EL PATIO DE LA CAÑADA,MERPAG*EL PATIO DE LA CAÑAD,27-71775140-1,1234,mercadopago,96969.21
Cliente,CLUB DE LA MILANESA NVA CBA,CR TRANSF CLUB DE LA MILANESA NVA C,27-12382825-8,1235,santander,94646.87
Cliente,Kalu cerveceria,MERPAGO KALU CERVECERIA,30-36226609-3,1236,mercadopago,91513.07
Cliente,RICCIONE BURGER,MP*RICCIONE BURGER,33-66033419-1,1237,mercadopago,89316.15
Cliente,CHEZ GENERAL PAZ,CR.TRANSF CHEZ GENERAL PAZ,27-53714785-9,1238,galicia,81685.2
Cliente,CLUB +30 - ROUS,TRANSF CLUB +30 - ROUS,33-69155792-4,1239,galicia,70165.0
Cliente,La Bode,MERPAGO LA BODE,23-51341252-8,1240,mercadopago,70119.26
Cliente,DE A DEVERAS CERRO,MP*DE A DEVERAS CERRO,30-92966278-2,1241,mercadopago,65370.78
Cliente,vicioteca recta,CR TRANSF VICIOTECA RECTA,30-42257905-0,1242,santander,64703.9
Cliente,CONSUMIDOR FINAL FRANCO,MERPAGO CONSUMIDOR FINAL FRA,23-36887676-7,1243,mercadopago,59806.81
Cliente,BACKERHAUS,ACRED.TRANSF BACKERHAUS,23-19034043-8,1244,galicia,53702.99
Cliente,BRIE DELICATESSEN,ACRED.TRANSF BRIE DELICATESSEN,23-79788191-4,1245,galicia,40127.11
Cliente,CLUB IME,CR.TRANSF CLUB IME,33-07836134-0,1246,galicia,39434.8
Cliente,CONSUMIDOR FINAL FEDE,CR.TRANSF CONSUMIDOR FINAL FEDE,27-51713395-9,1247,galicia,27002.67
Cliente,23 BURGER BEER,TRF CR 23 BURGER BEER,23-92330958-4,1248,galicia,24622.86
Proveedor,COCA COLA ANDINA,COCA COLA ANDINA,30-50001234-5,5001,santander,45000000.0
Proveedor,CERVECERIA QUILMES,CERVECERIA QUILMES,30-50005678-9,5002,santander,38000000.0
Proveedor,FERNET BRANCA,FERNET BRANCA,30-50009012-3,5003,santander,22000000.0
Proveedor,CAMPARI ARGENTINA,CAMPARI ARGENTINA,30-50003456-7,5004,santander,18000000.0
